X=400; Y=200; Q=0; D=89; Target state: LIVE;
X=400; Y=199; Q=296; D=89; Target state: LIVE;
X=400; Y=199; Q=296; D=90; Target state: LIVE;
X=401; Y=198; Q=296; D=90; Target state: LIVE;
X=401; Y=198; Q=296; D=91; Target state: LIVE;
X=402; Y=198; Q=296; D=92; Target state: LIVE;
X=402; Y=198; Q=296; D=92; Target state: LIVE;
X=403; Y=197; Q=296; D=93; Target state: LIVE;
X=403; Y=197; Q=296; D=93; Target state: LIVE;
X=404; Y=197; Q=296; D=94; Target state: LIVE;
X=404; Y=197; Q=296; D=94; Target state: LIVE;
X=405; Y=196; Q=296; D=95; Target state: LIVE;
X=405; Y=196; Q=296; D=95; Target state: LIVE;
X=406; Y=196; Q=296; D=96; Target state: LIVE;
X=406; Y=196; Q=296; D=97; Target state: LIVE;
X=407; Y=195; Q=296; D=97; Target state: LIVE;
X=407; Y=195; Q=296; D=98; Target state: LIVE;
X=408; Y=195; Q=296; D=98; Target state: LIVE;
X=408; Y=195; Q=296; D=99; Target state: LIVE;
X=409; Y=194; Q=296; D=99; Target state: LIVE;
X=409; Y=194; Q=296; D=100; Target state: LIVE;
X=410; Y=194; Q=296; D=100; Target state: LIVE;
X=410; Y=194; Q=296; D=101; Target state: LIVE;
X=411; Y=193; Q=296; D=102; Target state: LIVE;
X=411; Y=193; Q=296; D=102; Target state: LIVE;
X=412; Y=193; Q=296; D=103; Target state: LIVE;
X=412; Y=193; Q=296; D=103; Target state: LIVE;
X=412; Y=192; Q=296; D=104; Target state: LIVE;
X=413; Y=192; Q=296; D=104; Target state: LIVE;
X=413; Y=192; Q=296; D=105; Target state: LIVE;
X=414; Y=192; Q=296; D=105; Target state: LIVE;
X=414; Y=191; Q=296; D=106; Target state: LIVE;
X=415; Y=191; Q=296; D=107; Target state: LIVE;
X=415; Y=191; Q=296; D=107; Target state: LIVE;
X=416; Y=191; Q=296; D=108; Target state: LIVE;
X=415; Y=189; Q=296; D=108; Target state: LIVE;
X=415; Y=190; Q=297; D=107; Target state: LIVE;
X=416; Y=190; Q=297; D=107; Target state: LIVE;
X=415; Y=190; Q=297; D=107; Target state: LIVE;
X=414; Y=189; Q=297; D=107; Target state: LIVE;
X=413; Y=188; Q=298; D=106; Target state: LIVE;
X=412; Y=187; Q=299; D=106; Target state: LIVE;
X=411; Y=186; Q=299; D=105; Target state: LIVE;
X=409; Y=185; Q=300; D=104; Target state: LIVE;
X=409; Y=184; Q=301; D=104; Target state: LIVE;
X=408; Y=184; Q=301; D=104; Target state: LIVE;
X=406; Y=183; Q=302; D=103; Target state: LIVE;
X=406; Y=182; Q=303; D=103; Target state: LIVE;
X=404; Y=181; Q=303; D=102; Target state: LIVE;
X=403; Y=180; Q=304; D=102; Target state: LIVE;
X=402; Y=179; Q=305; D=102; Target state: LIVE;
X=401; Y=179; Q=305; D=101; Target state: LIVE;
X=400; Y=177; Q=306; D=101; Target state: LIVE;
X=399; Y=177; Q=307; D=101; Target state: LIVE;
X=398; Y=176; Q=308; D=100; Target state: LIVE;
X=397; Y=175; Q=309; D=100; Target state: LIVE;
X=395; Y=174; Q=309; D=100; Target state: LIVE;
X=395; Y=173; Q=310; D=100; Target state: LIVE;
X=393; Y=172; Q=311; D=99; Target state: LIVE;
X=392; Y=171; Q=312; D=99; Target state: LIVE;
X=391; Y=171; Q=313; D=99; Target state: LIVE;
X=390; Y=170; Q=313; D=98; Target state: LIVE;
X=389; Y=168; Q=314; D=99; Target state: LIVE;
X=388; Y=168; Q=315; D=99; Target state: LIVE;
X=387; Y=167; Q=316; D=99; Target state: LIVE;
X=386; Y=166; Q=317; D=98; Target state: LIVE;
X=384; Y=165; Q=317; D=98; Target state: LIVE;
X=384; Y=164; Q=318; D=99; Target state: LIVE;
X=383; Y=164; Q=319; D=98; Target state: LIVE;
X=381; Y=162; Q=320; D=98; Target state: LIVE;
X=381; Y=162; Q=321; D=98; Target state: LIVE;
X=379; Y=161; Q=321; D=98; Target state: LIVE;
X=379; Y=160; Q=322; D=99; Target state: LIVE;
X=378; Y=159; Q=323; D=99; Target state: LIVE;
X=376; Y=158; Q=324; D=99; Target state: LIVE;
X=375; Y=157; Q=325; D=99; Target state: LIVE;
X=374; Y=157; Q=325; D=99; Target state: LIVE;
X=373; Y=155; Q=326; D=99; Target state: LIVE;
X=372; Y=155; Q=327; D=99; Target state: LIVE;
X=371; Y=154; Q=328; D=99; Target state: LIVE;
X=370; Y=153; Q=329; D=100; Target state: LIVE;
X=369; Y=152; Q=329; D=100; Target state: LIVE;
X=368; Y=151; Q=330; D=100; Target state: LIVE;
X=367; Y=150; Q=331; D=100; Target state: LIVE;
X=365; Y=150; Q=331; D=100; Target state: LIVE;
X=365; Y=149; Q=332; D=101; Target state: LIVE;
X=364; Y=148; Q=333; D=101; Target state: LIVE;
X=362; Y=147; Q=334; D=102; Target state: LIVE;
X=362; Y=146; Q=335; D=102; Target state: LIVE;
X=361; Y=146; Q=335; D=102; Target state: LIVE;
X=359; Y=144; Q=336; D=103; Target state: LIVE;
X=359; Y=144; Q=337; D=103; Target state: LIVE;
X=358; Y=143; Q=337; D=103; Target state: LIVE;
X=356; Y=142; Q=338; D=104; Target state: LIVE;
X=357; Y=142; Q=339; D=104; Target state: LIVE;
X=357; Y=142; Q=339; D=104; Target state: LIVE;
X=358; Y=142; Q=338; D=104; Target state: LIVE;
X=358; Y=141; Q=338; D=105; Target state: LIVE;
X=358; Y=141; Q=338; D=105; Target state: LIVE;
X=358; Y=140; Q=338; D=106; Target state: LIVE;
X=359; Y=140; Q=338; D=107; Target state: LIVE;
X=359; Y=139; Q=338; D=107; Target state: LIVE;
X=359; Y=139; Q=338; D=108; Target state: LIVE;
X=359; Y=138; Q=338; D=108; Target state: LIVE;
X=359; Y=138; Q=338; D=109; Target state: LIVE;
X=360; Y=137; Q=338; D=109; Target state: LIVE;
X=360; Y=137; Q=338; D=110; Target state: LIVE;
X=360; Y=136; Q=338; D=110; Target state: LIVE;
X=360; Y=136; Q=338; D=111; Target state: LIVE;
X=360; Y=135; Q=338; D=112; Target state: LIVE;
X=361; Y=135; Q=338; D=112; Target state: LIVE;
X=361; Y=134; Q=338; D=113; Target state: LIVE;
X=361; Y=134; Q=338; D=113; Target state: LIVE;
X=361; Y=133; Q=338; D=114; Target state: LIVE;
X=361; Y=133; Q=338; D=114; Target state: LIVE;
X=362; Y=132; Q=338; D=115; Target state: LIVE;
X=362; Y=132; Q=338; D=115; Target state: LIVE;
X=362; Y=131; Q=338; D=116; Target state: LIVE;
X=362; Y=131; Q=338; D=117; Target state: LIVE;
X=362; Y=130; Q=338; D=117; Target state: LIVE;
X=363; Y=129; Q=338; D=118; Target state: LIVE;
X=363; Y=129; Q=338; D=118; Target state: LIVE;
X=363; Y=128; Q=338; D=119; Target state: LIVE;
X=363; Y=128; Q=338; D=119; Target state: LIVE;
X=363; Y=127; Q=338; D=120; Target state: LIVE;
X=364; Y=127; Q=338; D=120; Target state: LIVE;
X=364; Y=126; Q=338; D=121; Target state: LIVE;
X=364; Y=126; Q=338; D=122; Target state: LIVE;
X=364; Y=125; Q=338; D=122; Target state: LIVE;
X=364; Y=125; Q=338; D=123; Target state: LIVE;
X=365; Y=124; Q=338; D=123; Target state: LIVE;
